date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:12:55	24/24	---M--	200	added ('OK')	text/plain	date:Thu,%2012%20Feb%202026%2006:32:45%20GMT	https://globalzenithagency.site/robots.txt		(from )
00:12:58	216312/216312	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Feb%202026%2019:12:52%20GMT	https://globalzenithagency.site/	C:/My%20Web%20Sites/https___globalzenithagency.site_/globalzenithagency.site/index.html	(from )
00:12:59	232914/232914	---MCZ	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/https___globalzenithagency.site_/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://globalzenithagency.site/)
00:12:59	93734/93734	---MCZ	200	added ('OK')	text/css	etag:W/%2216e26-p4ONiiDb2g7p5MHLfx+DLOmvHBE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.css	C:/My%20Web%20Sites/https___globalzenithagency.site_/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.css	(from https://globalzenithagency.site/)
00:12:59	239582/239582	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Feb%202026%2006:32:45%20GMT	https://globalzenithagency.site/images/WhatsApp%20Image%202025-12-18%20at%2012.44.51%20PM.jpeg	C:/My%20Web%20Sites/https___globalzenithagency.site_/globalzenithagency.site/images/WhatsApp%20Image%202025-12-18%20at%2012.44.51%20PM.jpg	(from https://globalzenithagency.site/)
00:12:59	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/https___globalzenithagency.site_/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://globalzenithagency.site/)
00:13:00	26053/26053	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20Dec%202025%2015:10:57%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/https___globalzenithagency.site_/unpkg.com/aos@2.3.1/dist/aos.css	(from https://globalzenithagency.site/)
00:13:01	88904/88904	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Feb%202026%2006:32:45%20GMT	https://globalzenithagency.site/images/Global%20Zenith%20Agency%20%20%20AA.png	C:/My%20Web%20Sites/https___globalzenithagency.site_/globalzenithagency.site/images/Global%20Zenith%20Agency%20%20%20AA.png	(from https://globalzenithagency.site/)
00:13:03	98997/98997	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Feb%202026%2019:12:58%20GMT	https://globalzenithagency.site/services	C:/My%20Web%20Sites/https___globalzenithagency.site_/globalzenithagency.site/services.html	(from https://globalzenithagency.site/)
00:13:03	95083/95083	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Feb%202026%2019:12:59%20GMT	https://globalzenithagency.site/services/google-ads	C:/My%20Web%20Sites/https___globalzenithagency.site_/globalzenithagency.site/services/google-ads.html	(from https://globalzenithagency.site/)
